test,escalon,p50,p95,p99,errores_pct,rps,n,cpu_max,ram_max,conexiones_pg_max
lecturas,50,176.3,325.7,529.5,0.0,18.5,3885,0.457,309547000.0,9.0
lecturas,100,163.9,324.1,687.0,0.0,37.26,7825,1.25,311021570.0,10.0
lecturas,200,427.7,1369.0,2081.7,0.0,65.16,13683,2.0,478212100.0,10.0
lecturas,400,3998.2,8163.2,9812.7,0.0,62.4,13104,2.0,527065100.0,20.0
lecturas,800,9474.8,17174.3,18879.5,0.0,62.15,13051,2.0,552603650.0,20.0
recibos,2,15380.4,16097.7,16796.5,0.0,0.11,27,2.0,560402400.0,20.0
lectores_durante_recibos,2,636.9,2135.3,3430.6,0.1,32.0,7681,2.0,560402400.0,20.0
recibos,5,15376.5,15788.2,16012.7,0.0,0.29,70,2.0,579465200.0,20.0
lectores_durante_recibos,5,787.7,2132.5,3220.4,0.0,32.52,7804,2.0,579465200.0,20.0
recibos,10,15466.5,16079.6,16279.4,0.0,0.57,136,2.0,580317200.0,20.0
lectores_durante_recibos,10,874.9,2288.4,3340.8,0.0,31.66,7598,2.0,580317200.0,20.0
recibos,20,15645.6,16315.2,16819.9,0.37,1.12,270,2.0,586686460.0,20.0
lectores_durante_recibos,20,940.0,2440.8,3425.1,0.12,30.88,7411,2.0,586686460.0,20.0
