test,escalon,p50,p95,p99,errores_pct,rps,n,cpu_max,ram_max,conexiones_pg_max
lecturas,50,173.2,1023.1,1519.7,0.05,17.8,3737,0.45,210247680.0,10.0
lecturas,100,2746.7,6930.8,9680.4,0.0,17.26,3624,0.5,263602180.0,10.0
lecturas,200,8612.2,12918.7,15610.7,0.0,17.22,3616,0.5,279773200.0,11.0
lecturas,400,20413.2,26031.9,29069.3,0.65,16.76,3520,0.5,303427600.0,10.0
lecturas,800,40027.3,60000.1,60000.9,29.57,18.76,3940,0.5,350662660.0,10.0
recibos,2,15384.3,15559.6,15581.0,0.0,0.03,8,0.5,359276540.0,10.0
lectores_durante_recibos,2,23523.2,39196.7,43207.6,1.22,3.42,822,0.5,359276540.0,10.0
recibos,5,15441.5,40020.0,45025.4,0.0,0.04,9,0.388,366342140.0,10.0
lectores_durante_recibos,5,34291.4,60000.7,60001.1,11.39,1.98,474,0.388,366342140.0,10.0
recibos,10,45233.3,60000.9,60001.0,50.0,0.04,10,0.381,370737150.0,10.0
lectores_durante_recibos,10,37780.8,60001.0,60001.1,34.72,1.61,386,0.381,370737150.0,10.0
recibos,20,31085.8,45378.9,45380.0,0.0,0.03,7,0.5,376676350.0,10.0
lectores_durante_recibos,20,57844.7,60001.1,60001.1,52.02,0.72,173,0.5,376676350.0,10.0
