test,escalon,p50,p95,p99,errores_pct,rps,n,cpu_max,ram_max,conexiones_pg_max
lecturas,50,116.6,190.0,322.4,0.0,18.89,3966,0.5,619462660.0,9.0
lecturas,100,119.2,198.3,309.7,0.0,38.28,8038,0.912,337629200.0,10.0
lecturas,200,300.1,1047.0,1560.8,0.0,68.71,14429,2.0,545988600.0,20.0
lecturas,400,3550.1,7225.3,8929.3,0.01,65.5,13755,2.0,624529400.0,20.0
lecturas,800,8680.4,18172.8,19701.2,0.01,64.47,13538,2.0,664338400.0,20.0
recibos,2,15168.1,15219.4,15221.2,0.0,0.09,21,1.467,681910300.0,15.0
lectores_durante_recibos,2,566.7,15486.8,17584.9,0.0,17.1,4103,1.467,681910300.0,15.0
recibos,5,15217.0,40712.0,45249.5,0.0,0.11,27,1.138,694685700.0,15.0
lectores_durante_recibos,5,13126.2,37554.6,43146.6,0.05,8.23,1976,1.138,694685700.0,15.0
recibos,10,15277.3,60000.9,60001.0,15.38,0.11,26,0.793,703041540.0,15.0
lectores_durante_recibos,10,13085.5,60000.4,60001.0,6.99,5.6,1345,0.793,703041540.0,15.0
recibos,20,45440.4,60000.9,60001.0,48.65,0.15,37,0.552,709255200.0,15.0
lectores_durante_recibos,20,54462.2,60001.0,60001.1,28.82,2.18,524,0.552,709255200.0,15.0
