vigencia_desde,tope_maximo,base_minima,estado,fuente
2015-01,37191.95,1144.38,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2015-03,43202.17,1329.31,verificado,Res. ANSES 44/2015
2015-09,48728.14,1499.34,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2016-03,56354.74,1734.02,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2016-09,67720.29,2083.72,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2017-03,76442.12,2352.11,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2017-09,81918.55,2520.6,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2018-01,91011.04,2664.52,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2018-06,96169.45,2959.13,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2018-09,103242.54,3155.27,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2019-03,117694.47,3621.46,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2019-06,130421.12,4013.11,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2019-09,146393.25,4504.53,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2019-12,159020.32,4893.02,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2020-03,178625.28,5496.28,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2020-06,189559.38,5832.71,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2020-09,203882.51,6273.43,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2020-12,208289.32,6409.03,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2021-03,225487.03,6938.2,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2021-06,252901.36,7781.73,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2021-09,284343.91,8749.18,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2021-12,315350.62,9703.24,por_verificar,"CSV aportado, sin contrastar con fuente oficial"
2022-01,318103.83,9787.95,verificado,Res. ANSES 247/2021
2022-02,318103.83,9787.95,verificado,Res. ANSES 247/2021
2022-03,357166.98,10989.91,verificado,Res. ANSES 32/2022
2022-04,357166.98,10989.91,verificado,Res. ANSES 32/2022
2022-05,357166.98,10989.91,verificado,Res. ANSES 32/2022
2022-06,410742.03,12638.4,verificado,Res. ANSES 133/2022
2022-07,410742.03,12638.4,verificado,Res. ANSES 133/2022
2022-08,410742.03,12638.4,verificado,Res. ANSES 133/2022
2022-09,474530.27,14601.05,verificado,Res. ANSES 201/2022
2022-10,474530.27,14601.05,verificado,Res. ANSES 201/2022
2022-11,474530.27,14601.05,verificado,Res. ANSES 201/2022
2022-12,548651.9,16881.84,verificado,Res. ANSES 260/2022
2023-01,642924.46,19782.46,verificado,Res. ANSES 260/2022
2023-02,642924.46,19782.46,verificado,Res. ANSES 260/2022
2023-03,752668.0,23159.32,verificado,Res. ANSES 36/2023
2023-04,752668.0,23159.32,verificado,Res. ANSES 36/2023
2023-05,752668.0,23159.32,verificado,Res. ANSES 36/2023
2023-06,909789.95,27994.0,verificado,Res. ANSES 114/2023
2023-07,909789.95,27994.0,verificado,Res. ANSES 114/2023
2023-08,909789.95,27994.0,verificado,Res. ANSES 114/2023
2023-09,957320.12,31456.43,verificado,Res. ANSES 190/2023
2023-10,957320.12,31456.43,verificado,Res. ANSES 190/2023
2023-11,957320.12,31456.43,verificado,Res. ANSES 190/2023
2023-12,1059832.9,32610.67,verificado,Res. ANSES 222/2023
2024-01,1059832.9,32610.67,verificado,Res. ANSES 222/2023
2024-02,1059832.9,32610.67,verificado,Res. ANSES 222/2023
2024-03,1454606.17,44757.98,verificado,Res. ANSES 39/2024
2024-04,1854582.31,57065.22,verificado,Res. ANSES 62/2024
